Date,Open,High,Low,Close
13-May-20,20017.75,20122.25,19429.9,19634.95
12-May-20,18751.4,18993.4,18287,18862.85
11-May-20,19610.45,19733.4,18900.9,18950.5
08-May-20,19844,19969.6,19285.05,19352.9
07-May-20,19536.05,19757.25,19332.15,19491.8
06-May-20,19302.45,19806.6,18941,19694.55
05-May-20,20147.3,20223.15,19212.35,19271.75
04-May-20,20514.75,20530.45,19643.6,19743.75
30-Apr-20,21589.2,21967,21353.65,21534.5
29-Apr-20,20440.4,21348.15,20393.65,21090.2
28-Apr-20,20436.6,20751.3,20260.8,20671.1
27-Apr-20,19870.8,20224.75,19847.65,20081.15
24-Apr-20,19697.65,19950.15,19515.4,19586.65
23-Apr-20,19871.35,20356.5,19584.4,20267.95
22-Apr-20,19306.95,19806.35,19051.95,19701.85
21-Apr-20,19812.05,19891.45,19247.95,19409.35
20-Apr-20,21104.7,21122.1,20444.25,20522.65
17-Apr-20,20394.75,20866.55,19729.3,20681.45
16-Apr-20,18957.15,19520.3,18703.45,19400
15-Apr-20,20096.35,20184.1,18776.75,19057.05
13-Apr-20,19854.9,19887.05,19294,19488
09-Apr-20,19553.15,19988.3,19166.9,19913.6
08-Apr-20,18799.4,20324.1,18482.9,18946.45
07-Apr-20,18454.55,19190.55,17953.75,19062.5
03-Apr-20,18325.05,18326.1,17143.2,17249.3
01-Apr-20,19122.4,19154.75,18042.25,18208.35
31-Mar-20,19307.65,19466.3,18792.4,19144
30-Mar-20,19254.45,19716.25,18668.7,18782.4
27-Mar-20,20801.6,21462.4,19580.1,19969
26-Mar-20,18781.85,20409.35,18364.5,19613.9
25-Mar-20,16759.95,18740.2,16635.5,18481.05
24-Mar-20,17705.85,17841.4,16116.25,17107.3
23-Mar-20,18311.3,18895.65,16791.05,16917.65
20-Mar-20,19898.3,20924.55,19265,20317.6
19-Mar-20,19428.95,21035.05,18675.65,20083.5
18-Mar-20,22411.85,22544.05,20267.95,20580.2
17-Mar-20,23348.05,23449.5,22002,22155.15
16-Mar-20,24061.6,24074.15,23008.25,23101.15
13-Mar-20,22720.75,25670.75,21351.7,25166.45
12-Mar-20,25175.9,25223.1,23536.35,23971.15
11-Mar-20,26272.75,26791.45,26234.1,26487.8
09-Mar-20,27031.45,27091.6,25923.4,26462.6
06-Mar-20,27649.95,28047.2,27162.3,27801.45
05-Mar-20,28830.3,29134.3,28535.6,28815.35
04-Mar-20,29252.95,29273.65,28125.15,28653.7
03-Mar-20,29012.55,29285.35,28749.55,29177.05
02-Mar-20,29701,29791.15,28571.7,28868.4
28-Feb-20,29501.55,29564.1,29051.5,29147.15
27-Feb-20,30270,30271.95,29914.15,30187
26-Feb-20,30279.95,30515.35,30131.75,30306.85
25-Feb-20,30517,30610.7,30329.95,30432.7
24-Feb-20,30666.35,30702.15,30428,30455.1
20-Feb-20,30862.3,31085.3,30702.45,30942.85
19-Feb-20,30905,30947.15,30606.15,30838.2
18-Feb-20,30661.5,30692.75,30252.45,30562.5
17-Feb-20,30873.85,30998.15,30630.5,30680.7
14-Feb-20,31281.85,31436.65,30776.1,30834.8
13-Feb-20,31586.55,31649.45,31180.6,31230.25
12-Feb-20,31441.15,31588.6,31398.15,31492.9
11-Feb-20,31230.2,31505.95,31225.9,31300.6
10-Feb-20,31248.65,31248.8,30957.2,31058.15
07-Feb-20,31367.05,31368.2,31111.05,31201.95
06-Feb-20,31070.75,31470.65,30917.25,31304.05
05-Feb-20,30761.95,31065.85,30630.85,31001.95
04-Feb-20,30235.3,30776.95,30182.45,30686.7
03-Feb-20,29811.75,30105.8,29612.55,30023.25
01-Feb-20,30726.2,30918.6,29753,29820.9
31-Jan-20,30950.5,31033.45,30691.8,30833.6
30-Jan-20,30889.25,30909.5,30521.3,30647.4
29-Jan-20,30915.1,31082.85,30835.8,30877
28-Jan-20,30922,31048.45,30656.35,30761.4
27-Jan-20,31110.55,31227.05,30808.55,30837.4
24-Jan-20,31040.1,31375.45,30879.05,31241.75
23-Jan-20,30742.2,31087.25,30621.35,31004.05
22-Jan-20,31061.6,31149.05,30614,30701.45
21-Jan-20,30978.85,31171.25,30858.6,30947.55
20-Jan-20,31923.95,31923.95,31050.95,31080.65
17-Jan-20,31571.65,31773.55,31445.5,31590.65
16-Jan-20,31810.55,31988.9,31692.4,31853.9
15-Jan-20,31994.75,32000.9,31670.35,31824.9
14-Jan-20,32196.45,32196.45,31989.2,32071.65
13-Jan-20,32139.1,32322.65,32074.05,32177.65
10-Jan-20,32215.7,32347.2,31953.4,32097.4
09-Jan-20,31748.25,32172.7,31667.15,32092.4
08-Jan-20,30995.5,31451.85,30899.55,31373.65
07-Jan-20,31598.05,31851.45,31200.9,31399.4
06-Jan-20,31910.45,31914.45,31170.55,31237.15
03-Jan-20,32326.95,32329.8,31960.4,32069.25
02-Jan-20,32133.15,32465.45,32121.4,32443.85
01-Jan-20,32237.9,32348,32057.2,32102.9
31-Dec-19,32345.95,32345.95,32108.75,32161.65
30-Dec-19,32486.6,32613.1,32248.5,32354.9
27-Dec-19,32142.5,32444.85,32056.25,32412.35
26-Dec-19,32276.15,32314.6,31963.25,31997.7
24-Dec-19,32337.8,32390.35,32246.05,32280.75
23-Dec-19,32381,32502.8,32196.85,32339.45
20-Dec-19,32266.85,32443.35,32199.45,32384.95
19-Dec-19,32281.65,32328.35,32085.05,32241.45
